Ajuste Fecha;Dia Semana;Sabor 1;Sabor 2;Sabor 3;Sabor 4;Sabor 5;Sabor 6;Sabor 7;Sabor 8;Sabor 9;Sabor 10;Sabor 11;Sabor 12;Sabor 13;Sabor 14;Sabor 15;Sabor 16;Sabor 17;Sabor 18;Sabor 19;Sabor 20;Sabor 21;Sabor 22;Sabor 23;Sabor 24;Sabor 25;Sabor 26;Sabor 27;Sabor 28;Sabor 29;Sabor 30;Sabor 31;Sabor 32;Sabor 33;Sabor 34;Sabor 35;Sabor 36;Sabor 37;Sabor 38;Sabor 39;Sabor 40;Sabor 41;Sabor 42;Sabor 43;Sabor 44;Sabor 45;Sabor 46;Sabor 47;Sabor 48;Sabor 49;Sabor 50;Sabor 51;Sabor 52;Sabor 53;Sabor 54;Sabor 55;Sabor 56;Sabor 57;Sabor 58;Sabor 59;Sabor 60;Sabor 61;Sabor 62;Sabor 63;Sabor 64;Sabor 65;Sabor 66;Sabor 67;Sabor 68;Sabor 69;Sabor 70;Sabor 71;Sabor 72;Sabor 73;Sabor 74;Sabor 75;Sabor 76;Sabor 77;Sabor 78;Sabor 79;;Total Cantidad
28/8/19 0:00;Viernes;-5,42;-19,69;-11,72;-5;-5,08;;-10,16;-6,13;;-5,61;;-13,25;-17,43;-6,12;-16,12;-4,95;;-5,86;-31,78;-14,57;-13,38;-25,76;-18,85;-16,85;-11,74;-25,17;-17,57;-6,68;-6,79;-7,73;-13,52;;;-5,71;-12,49;;-5,83;;-13;-1;-13;;;;;;;-20,28;-10,83;-425,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29/8/19 0:00;Sábado;-21,77;-19,56;-17,3;-15,01;-10,06;;-5,95;-19,5;;-16,07;;-7,19;;;-21,51;-14,22;;-25,13;-19,32;-7,74;-6,34;-12,85;-5,03;-6,14;-18,37;;;-12,41;-11,35;-7,66;-11,38;;-2;-4,52;;-30;-5,4;;-51;-10;-16;;;-13,03;;;;-20,7;;-464,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/8/19 0:00;Domingo;-5,36;-14,06;-13,14;-25,17;;;-24,04;-6,71;;-5,07;;-28,3;-11,46;-5,3;-11;-9,74;;-18,6;-24,51;-7,97;-43,02;-6,37;-10,81;-32,78;-10,26;-19,33;;;-6,79;;-5,87;;-4;-5,11;;-30;;-20;-36;-12;-24;;;-12,98;;;-2;-7,06;-10,82;-509,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/8/19 0:00;Lunes;-23,05;-33,76;-28,84;-10,09;-10,1;;-33,42;-30,2;;-23,52;;-14,31;-39,12;-11,24;-25,79;-24,67;;-45,94;-57,73;-22,7;-20,09;-25,62;-38,41;-30,94;-23,19;-31,57;-29,33;-12,34;-12,3;-7,42;-39,23;-4;;-16,54;-15;-60;-5,98;;-40;-36;-27;;;-44,5;;;-3;-21,11;-5,32;-983,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/9/19 0:00;Martes;-33,57;-42,53;-33,6;-5,05;;;-30,75;-26,07;;-29,49;;-34,96;-29,18;-17,47;-33,73;-20,39;;-29,13;-53,19;-14,6;-36,85;-32,26;-27,77;-19,58;-28,12;-25,71;-17,63;-13,23;-12,61;-8,53;-26,47;-15;-5;-10,04;-28,72;-60;-11,28;-20;-47;-35;-73;;;-12,29;;;-3;-35,53;-15,63;-1.053,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/9/19 0:00;Miércoles;-22,79;-23,63;-23,92;-10,08;;;-23,8;-26,57;;-26,17;;-21,37;-24,8;-18,79;-16,21;-13,98;;-24,46;-38,74;-21,94;-39,39;-31,47;-19,36;-30,46;-18,54;-25,17;-23,46;-18,86;-20,43;-22,98;-22,07;-3;-2;-16,24;-21,18;;-21,89;-20;-27;-5;-30;;;-23,43;;;;-17,73;-16,02;-812,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3/9/19 0:00;Jueves;-5,04;-7,6;-12,65;-5,01;;;-5,82;-6,55;;;;-6,67;-5,69;;;-10,41;;-6,53;;;;;;;;-10,92;;;-5,92;;;-1;-1;;-5,39;-30;;;-24;-26;-12;;;-7,01;;;;-14,79;;-210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4/9/19 0:00;Viernes;-11,62;-5,86;;;;;;;;;;;-5,92;;-17,47;-10,27;;;-6,21;;-5,49;-6,42;-4,96;;;-6,55;-5,54;;;-8,48;-5,43;-1;-1;;;-30;;;-1;-1;-16;;;;;;;;-5,81;-156,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5/9/19 0:00;Sábado;;-12,76;-5,69;-10,02;-10,17;;-5,7;-6,32;;-18,22;;-7,11;-12,35;-11,66;-5,18;-17,19;;-19,91;-12,5;-21,96;-6,9;-12,96;-15,27;-21,96;;-11,12;;;-6,12;-8,38;-16,98;-6;-8;-4,06;-5,4;-90;;;-44;-41;-42;;;-12,11;;;-1;-7,18;;-537,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6/9/19 0:00;Domingo;-11,4;-13,33;-6,59;-20,07;-5,1;;-5,65;-12,68;;-7,54;;-14,32;-16,95;;-15,11;;;-11,91;-24,55;;-18,88;-12,35;-9,9;;-11,7;-11,39;-5,65;-14,32;-6,06;;-9,39;;;-10,69;;-1;-11,25;;-12;;-24;;;-13,46;;;;-6,79;-4,89;-348,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
